CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Usman Santoso,65,belum menikah,99726,laki-laki,5,1,SMA,unskilled manual work,memiliki rumah sendiri,3
Wati Utomo,25,belum menikah,27862,laki-laki,1,0,S1,unskilled manual work,memiliki rumah sendiri,0
Vina Rachman,26,sudah menikah,66878,perempuan,5,0,SMA,sales,memiliki rumah sendiri,3
Yusuf Haryanto,48,belum menikah,110549,perempuan,0,0,SMA,skilled manual work,memiliki rumah sendiri,0
Cahyadi Sari,26,sudah menikah,93119,laki-laki,1,0,S2,management,tidak memiliki rumah sendiri,3
Budi Rachman,39,belum menikah,96443,laki-laki,3,0,Post-graduate,sales,memiliki rumah sendiri,1
Agus Pratama,23,belum menikah,110395,perempuan,0,2,S1,management,tidak memiliki rumah sendiri,2
Rizki Hakim,40,sudah menikah,85665,perempuan,3,0,SMA,clerical work,tidak memiliki rumah sendiri,1
Agus Purnomo,52,sudah menikah,47954,perempuan,5,2,S3,sales,memiliki rumah sendiri,2
Gita Saputra,59,sudah menikah,59778,laki-laki,5,0,S2,clerical work,tidak memiliki rumah sendiri,3
Hadi Pratama,54,sudah menikah,92499,laki-laki,1,2,SMA,management,memiliki rumah sendiri,3
Lina Pratama,29,sudah menikah,81057,laki-laki,5,0,SMA,unskilled manual work,tidak memiliki rumah sendiri,3
Vina Mahendra,23,sudah menikah,81694,perempuan,0,1,SMA,professional,memiliki rumah sendiri,1
Indra Putra,62,belum menikah,95886,laki-laki,3,0,S2,professional,tidak memiliki rumah sendiri,1
Indra Putra,22,belum menikah,54869,laki-laki,4,3,S1,skilled manual work,memiliki rumah sendiri,3
Gita Rachman,54,belum menikah,94704,perempuan,5,0,S1,skilled manual work,memiliki rumah sendiri,1
Rizki Hidayat,58,sudah menikah,34086,laki-laki,2,1,Post-graduate,unskilled manual work,memiliki rumah sendiri,2
Zainab Fauzan,38,sudah menikah,109585,laki-laki,0,2,SMA,clerical work,memiliki rumah sendiri,0
Eko Mahendra,28,belum menikah,98231,laki-laki,0,1,S3,skilled manual work,tidak memiliki rumah sendiri,3
Hadi Putra,63,sudah menikah,100719,perempuan,2,0,Post-graduate,professional,memiliki rumah sendiri,3
Wati Fauzan,25,sudah menikah,82344,laki-laki,5,1,Post-graduate,sales,tidak memiliki rumah sendiri,0
Zainab Mahendra,35,belum menikah,100805,laki-laki,0,0,Post-graduate,clerical work,memiliki rumah sendiri,3
Cahyadi Hidayat,30,belum menikah,66869,perempuan,4,0,Post-graduate,clerical work,memiliki rumah sendiri,0
Putri Haryanto,45,sudah menikah,33594,perempuan,5,0,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Dewi Setiawan,40,sudah menikah,40861,laki-laki,1,1,SMA,management,memiliki rumah sendiri,1
Fitri Muliawan,55,sudah menikah,145330,perempuan,2,1,Post-graduate,skilled manual work,memiliki rumah sendiri,1
Taufik Hakim,55,belum menikah,141181,perempuan,4,2,S3,management,tidak memiliki rumah sendiri,0
Putri Haryanto,37,sudah menikah,102347,perempuan,1,4,S3,sales,tidak memiliki rumah sendiri,2
Kartini Santoso,39,sudah menikah,49589,laki-laki,4,1,S2,skilled manual work,memiliki rumah sendiri,3
Dewi Wahyuni,48,belum menikah,55761,laki-laki,5,4,S1,management,tidak memiliki rumah sendiri,2
Agus Setiawan,24,belum menikah,133837,laki-laki,4,1,Post-graduate,professional,memiliki rumah sendiri,0
Gita Mahendra,44,belum menikah,77233,laki-laki,1,4,S2,sales,memiliki rumah sendiri,2
Maya Mahendra,55,sudah menikah,81719,perempuan,2,0,SMA,skilled manual work,tidak memiliki rumah sendiri,0
Eko Wijaya,44,sudah menikah,36879,laki-laki,5,5,Post-graduate,unskilled manual work,memiliki rumah sendiri,1
Yusuf Wibowo,59,sudah menikah,97806,laki-laki,3,3,S3,professional,tidak memiliki rumah sendiri,0
Taufik Susanto,49,belum menikah,74458,laki-laki,3,3,S2,clerical work,tidak memiliki rumah sendiri,2
Kartini Muliawan,64,belum menikah,56358,perempuan,4,0,S2,unskilled manual work,memiliki rumah sendiri,1
Joko Setiawan,24,belum menikah,47418,laki-laki,4,3,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,1
Gita Hidayat,48,sudah menikah,46130,laki-laki,4,1,S2,clerical work,tidak memiliki rumah sendiri,0
Siti Hidayat,18,sudah menikah,43550,laki-laki,4,0,S1,professional,tidak memiliki rumah sendiri,1
Rizki Mahendra,23,sudah menikah,94957,laki-laki,1,0,S1,clerical work,memiliki rumah sendiri,1
Wati Wibowo,46,sudah menikah,120384,laki-laki,0,0,Post-graduate,clerical work,tidak memiliki rumah sendiri,1
Kartini Saputra,22,sudah menikah,124172,perempuan,4,1,SMA,unskilled manual work,memiliki rumah sendiri,2
Joko Wijaya,47,belum menikah,89185,laki-laki,0,3,S3,clerical work,memiliki rumah sendiri,2
Hadi Fauzan,58,sudah menikah,20579,perempuan,3,1,S1,unskilled manual work,tidak memiliki rumah sendiri,3
Lina Santoso,69,sudah menikah,91706,laki-laki,5,2,S3,management,tidak memiliki rumah sendiri,0
Gita Wijaya,57,belum menikah,114085,laki-laki,1,1,Post-graduate,unskilled manual work,memiliki rumah sendiri,1
Rizki Wijaya,49,sudah menikah,20865,laki-laki,4,1,S3,skilled manual work,memiliki rumah sendiri,3
Budi Anggraini,65,sudah menikah,85215,laki-laki,4,0,S1,unskilled manual work,tidak memiliki rumah sendiri,0
Joko Setiawan,39,sudah menikah,31031,perempuan,0,0,SMA,management,tidak memiliki rumah sendiri,0
Rizki Utomo,55,belum menikah,60276,laki-laki,4,0,S1,sales,tidak memiliki rumah sendiri,1
Usman Wibowo,19,belum menikah,73090,laki-laki,2,1,S2,skilled manual work,tidak memiliki rumah sendiri,1
Taufik Wahyuni,62,belum menikah,110100,perempuan,5,2,S3,unskilled manual work,tidak memiliki rumah sendiri,3
Wati Mahendra,26,belum menikah,98052,laki-laki,4,1,S2,sales,tidak memiliki rumah sendiri,1
Rizki Putra,50,belum menikah,145818,laki-laki,0,1,S2,skilled manual work,memiliki rumah sendiri,1
Cahyadi Sari,21,sudah menikah,128087,perempuan,0,1,S2,management,memiliki rumah sendiri,1
Rizki Susanto,33,sudah menikah,39487,perempuan,0,0,S1,unskilled manual work,memiliki rumah sendiri,0
Kartini Muliawan,33,belum menikah,144181,perempuan,1,1,S1,unskilled manual work,tidak memiliki rumah sendiri,3
Taufik Setiawan,21,belum menikah,69616,laki-laki,1,0,S2,clerical work,tidak memiliki rumah sendiri,2
Yusuf Fauzan,37,sudah menikah,121732,perempuan,3,1,Post-graduate,sales,memiliki rumah sendiri,1
Joko Setiawan,65,sudah menikah,132533,perempuan,0,3,S1,management,tidak memiliki rumah sendiri,3
Joko Hakim,52,belum menikah,122360,perempuan,1,0,S2,skilled manual work,memiliki rumah sendiri,3
Joko Hakim,41,sudah menikah,82385,perempuan,4,0,Post-graduate,sales,memiliki rumah sendiri,0
Maya Rachman,61,belum menikah,87288,laki-laki,5,0,S1,unskilled manual work,memiliki rumah sendiri,0
Joko Susanto,32,belum menikah,39065,laki-laki,3,3,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,3
Siti Putra,33,sudah menikah,83152,laki-laki,3,2,S1,unskilled manual work,tidak memiliki rumah sendiri,3
Nina Pratama,35,belum menikah,98748,perempuan,1,1,Post-graduate,management,tidak memiliki rumah sendiri,0
Fitri Hakim,37,sudah menikah,36405,laki-laki,2,0,S2,sales,memiliki rumah sendiri,1
Siti Wahyuni,65,belum menikah,34318,perempuan,3,3,S2,professional,memiliki rumah sendiri,1
Usman Utomo,36,sudah menikah,68828,perempuan,5,0,S3,management,memiliki rumah sendiri,3
Kartini Wibowo,24,sudah menikah,53033,perempuan,1,0,S1,professional,tidak memiliki rumah sendiri,2
Indra Hidayat,35,belum menikah,44559,perempuan,0,1,S1,sales,tidak memiliki rumah sendiri,3
Maya Susanto,36,sudah menikah,81759,laki-laki,3,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,0
Putri Pratama,60,sudah menikah,25190,laki-laki,2,1,S2,management,memiliki rumah sendiri,2
Wati Rachman,36,sudah menikah,24432,laki-laki,4,0,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Usman Rachman,25,sudah menikah,31185,perempuan,1,1,S1,professional,tidak memiliki rumah sendiri,2
Agus Pratama,36,sudah menikah,105967,laki-laki,4,0,S1,unskilled manual work,memiliki rumah sendiri,2
Wati Anggraini,59,belum menikah,74057,perempuan,5,0,SMA,professional,memiliki rumah sendiri,2
Hadi Purnomo,25,belum menikah,121300,perempuan,1,0,S2,skilled manual work,memiliki rumah sendiri,0
Maya Haryanto,19,belum menikah,67751,laki-laki,3,1,Post-graduate,management,tidak memiliki rumah sendiri,0
Siti Pratama,61,sudah menikah,88858,perempuan,1,5,SMA,sales,memiliki rumah sendiri,2
Yusuf Susanto,19,sudah menikah,142258,laki-laki,3,0,S2,sales,memiliki rumah sendiri,1
Joko Sari,46,belum menikah,142366,perempuan,4,1,Post-graduate,sales,memiliki rumah sendiri,0
Eko Muliawan,56,sudah menikah,48774,laki-laki,2,0,S3,skilled manual work,memiliki rumah sendiri,0
Cahyadi Hidayat,30,belum menikah,137160,perempuan,1,0,S1,unskilled manual work,memiliki rumah sendiri,2
Zainab Muliawan,35,belum menikah,29943,laki-laki,1,4,SMA,sales,tidak memiliki rumah sendiri,0
Putri Wibowo,21,belum menikah,66629,perempuan,1,2,S2,clerical work,memiliki rumah sendiri,3
Wati Haryanto,19,sudah menikah,127594,perempuan,2,0,Post-graduate,sales,memiliki rumah sendiri,2
Putri Haryanto,42,sudah menikah,52368,perempuan,4,3,S3,sales,tidak memiliki rumah sendiri,1
Zainab Wibowo,42,belum menikah,133177,laki-laki,3,1,S2,clerical work,memiliki rumah sendiri,3
Dewi Hakim,67,belum menikah,47159,perempuan,1,0,SMA,management,tidak memiliki rumah sendiri,0
Usman Haryanto,45,belum menikah,51698,laki-laki,3,1,S2,clerical work,memiliki rumah sendiri,3
Gita Putra,67,sudah menikah,121596,perempuan,5,3,S2,sales,memiliki rumah sendiri,1
Indra Saputra,59,sudah menikah,64715,perempuan,2,0,S3,clerical work,memiliki rumah sendiri,2
Lina Hidayat,40,sudah menikah,96576,perempuan,0,3,S3,professional,memiliki rumah sendiri,2
Putri Hakim,23,belum menikah,91808,laki-laki,3,0,S2,professional,tidak memiliki rumah sendiri,2
Usman Wahyuni,27,sudah menikah,34761,perempuan,2,4,Post-graduate,professional,tidak memiliki rumah sendiri,2
Lina Hidayat,44,belum menikah,133157,perempuan,4,1,S1,professional,memiliki rumah sendiri,0
Siti Susanto,26,sudah menikah,34915,laki-laki,0,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,3
Usman Wijaya,38,sudah menikah,64498,perempuan,1,3,S1,clerical work,tidak memiliki rumah sendiri,2
Gita Fauzan,55,sudah menikah,139531,perempuan,5,0,SMA,clerical work,tidak memiliki rumah sendiri,2
Hadi Rachman,20,belum menikah,107460,laki-laki,1,0,S2,professional,memiliki rumah sendiri,1
Rizki Putra,53,belum menikah,47468,laki-laki,0,2,S2,professional,tidak memiliki rumah sendiri,1
Indra Anggraini,37,sudah menikah,74862,perempuan,5,0,S3,management,memiliki rumah sendiri,3
Gita Purnomo,57,belum menikah,143123,laki-laki,0,1,SMA,professional,memiliki rumah sendiri,2
Zainab Pratama,24,sudah menikah,56538,perempuan,5,3,Post-graduate,sales,memiliki rumah sendiri,2
Maya Susanto,46,belum menikah,31462,perempuan,1,2,S3,unskilled manual work,tidak memiliki rumah sendiri,3
Taufik Utomo,23,sudah menikah,121376,perempuan,3,3,S3,sales,memiliki rumah sendiri,1
Nina Purnomo,66,belum menikah,48561,perempuan,2,0,S3,skilled manual work,memiliki rumah sendiri,0
Vina Hakim,59,sudah menikah,89823,perempuan,3,1,S3,professional,memiliki rumah sendiri,2
Fitri Haryanto,49,belum menikah,29808,perempuan,0,0,S2,professional,tidak memiliki rumah sendiri,0
Vina Hidayat,24,sudah menikah,71711,laki-laki,1,0,S3,professional,tidak memiliki rumah sendiri,3
Yusuf Putra,40,sudah menikah,48913,perempuan,5,2,Post-graduate,management,tidak memiliki rumah sendiri,0
Hadi Wahyuni,61,belum menikah,71291,laki-laki,0,0,SMA,management,memiliki rumah sendiri,0
Budi Setiawan,32,sudah menikah,20190,perempuan,4,1,S3,management,memiliki rumah sendiri,3
Siti Mahendra,20,sudah menikah,56916,laki-laki,3,0,S3,clerical work,tidak memiliki rumah sendiri,0
Hadi Santoso,33,belum menikah,121857,perempuan,2,0,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Taufik Purnomo,61,belum menikah,88910,laki-laki,3,0,Post-graduate,management,memiliki rumah sendiri,3
Agus Sari,20,sudah menikah,28886,perempuan,4,2,S1,clerical work,tidak memiliki rumah sendiri,1
Lina Wibowo,20,sudah menikah,114928,laki-laki,5,0,S3,professional,memiliki rumah sendiri,0
Maya Sari,57,belum menikah,68457,perempuan,0,1,S1,management,memiliki rumah sendiri,0
Agus Saputra,62,sudah menikah,65345,perempuan,1,1,S2,clerical work,memiliki rumah sendiri,0
Putri Setiawan,48,sudah menikah,103897,laki-laki,3,5,Post-graduate,management,tidak memiliki rumah sendiri,0
Budi Setiawan,23,sudah menikah,46265,laki-laki,2,4,S2,clerical work,memiliki rumah sendiri,0
Eko Rachman,57,sudah menikah,109231,laki-laki,2,0,SMA,management,tidak memiliki rumah sendiri,0
Agus Wahyuni,56,belum menikah,61578,laki-laki,4,0,SMA,clerical work,tidak memiliki rumah sendiri,0
Wati Wibowo,63,sudah menikah,36607,laki-laki,2,2,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Agus Fauzan,37,sudah menikah,95744,perempuan,2,0,S1,management,memiliki rumah sendiri,1
Maya Putra,37,belum menikah,135886,laki-laki,2,2,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Rizki Wijaya,49,sudah menikah,93340,laki-laki,4,0,S3,unskilled manual work,tidak memiliki rumah sendiri,2
Taufik Muliawan,28,belum menikah,105469,laki-laki,1,3,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Wati Anggraini,18,belum menikah,56965,perempuan,3,0,S1,sales,memiliki rumah sendiri,0
Zainab Fauzan,52,belum menikah,46881,perempuan,4,0,Post-graduate,professional,tidak memiliki rumah sendiri,0
Dewi Hidayat,39,sudah menikah,28951,laki-laki,1,1,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,3
Maya Wibowo,29,sudah menikah,124546,perempuan,3,1,SMA,professional,tidak memiliki rumah sendiri,3
Yusuf Setiawan,18,belum menikah,61530,perempuan,5,0,Post-graduate,management,memiliki rumah sendiri,2
Dewi Santoso,27,belum menikah,51481,perempuan,5,0,S3,unskilled manual work,tidak memiliki rumah sendiri,3
Putri Anggraini,26,sudah menikah,88803,laki-laki,5,2,SMA,management,tidak memiliki rumah sendiri,0
Nina Rachman,42,belum menikah,138808,laki-laki,5,0,S3,sales,tidak memiliki rumah sendiri,0
Budi Anggraini,31,belum menikah,141061,perempuan,4,0,S2,professional,tidak memiliki rumah sendiri,0
Fitri Hidayat,43,belum menikah,124667,laki-laki,4,1,S3,management,memiliki rumah sendiri,0
Zainab Wahyuni,38,belum menikah,134060,perempuan,5,3,Post-graduate,clerical work,memiliki rumah sendiri,0
Siti Susanto,35,sudah menikah,86453,perempuan,0,5,S2,skilled manual work,tidak memiliki rumah sendiri,3
Hadi Hakim,22,belum menikah,88254,laki-laki,4,0,S3,skilled manual work,tidak memiliki rumah sendiri,1
Wati Fauzan,31,sudah menikah,70545,perempuan,5,0,S2,skilled manual work,tidak memiliki rumah sendiri,0
Kartini Rachman,63,belum menikah,23011,laki-laki,1,0,SMA,skilled manual work,tidak memiliki rumah sendiri,0
Siti Rachman,24,belum menikah,142055,laki-laki,0,0,S1,sales,memiliki rumah sendiri,3
Fitri Saputra,30,sudah menikah,57604,laki-laki,2,2,S3,unskilled manual work,memiliki rumah sendiri,2
Siti Pratama,46,sudah menikah,140203,perempuan,3,4,S3,management,memiliki rumah sendiri,0
Joko Purnomo,50,belum menikah,116960,perempuan,1,1,S2,management,memiliki rumah sendiri,3
Taufik Mahendra,53,sudah menikah,50428,perempuan,2,5,Post-graduate,unskilled manual work,memiliki rumah sendiri,1
Rizki Wijaya,68,belum menikah,117923,perempuan,3,4,S2,clerical work,tidak memiliki rumah sendiri,3
Budi Muliawan,29,sudah menikah,33721,laki-laki,0,0,S2,skilled manual work,tidak memiliki rumah sendiri,1
Rizki Sari,44,sudah menikah,137667,perempuan,3,3,SMA,professional,memiliki rumah sendiri,0
Maya Fauzan,48,belum menikah,76817,perempuan,2,1,Post-graduate,skilled manual work,memiliki rumah sendiri,2
Yusuf Wijaya,38,sudah menikah,118156,perempuan,2,0,S1,management,memiliki rumah sendiri,0
Indra Purnomo,29,belum menikah,119824,laki-laki,1,0,Post-graduate,sales,memiliki rumah sendiri,1
Nina Purnomo,22,belum menikah,141811,laki-laki,3,0,S2,management,memiliki rumah sendiri,0
Fitri Anggraini,31,sudah menikah,134530,laki-laki,2,0,S1,sales,tidak memiliki rumah sendiri,3
Taufik Wijaya,43,sudah menikah,74184,perempuan,2,0,S3,professional,tidak memiliki rumah sendiri,0
Rizki Santoso,68,belum menikah,130781,perempuan,3,0,S1,sales,tidak memiliki rumah sendiri,2
Zainab Purnomo,41,belum menikah,84410,laki-laki,1,0,Post-graduate,professional,memiliki rumah sendiri,1
Taufik Anggraini,52,sudah menikah,111468,laki-laki,5,0,S1,skilled manual work,tidak memiliki rumah sendiri,3
Indra Putra,20,belum menikah,128607,perempuan,2,4,S2,unskilled manual work,memiliki rumah sendiri,0
Rizki Fauzan,67,sudah menikah,56616,perempuan,3,0,Post-graduate,clerical work,memiliki rumah sendiri,1
Hadi Haryanto,43,belum menikah,24821,perempuan,5,3,S3,professional,tidak memiliki rumah sendiri,1
Siti Santoso,27,sudah menikah,126367,laki-laki,2,0,S1,unskilled manual work,memiliki rumah sendiri,3
Budi Utomo,24,belum menikah,142108,perempuan,5,4,Post-graduate,management,tidak memiliki rumah sendiri,2
Budi Wahyuni,44,belum menikah,62842,laki-laki,1,1,Post-graduate,clerical work,tidak memiliki rumah sendiri,2
Wati Wijaya,23,belum menikah,116190,laki-laki,3,0,SMA,professional,tidak memiliki rumah sendiri,1
Zainab Wibowo,39,sudah menikah,74397,perempuan,1,4,Post-graduate,management,tidak memiliki rumah sendiri,3
Nina Wahyuni,60,sudah menikah,105232,perempuan,3,0,S3,professional,memiliki rumah sendiri,0
Eko Anggraini,25,sudah menikah,39064,perempuan,2,2,S1,professional,tidak memiliki rumah sendiri,0
Agus Rachman,34,sudah menikah,117758,laki-laki,0,0,S1,unskilled manual work,memiliki rumah sendiri,1
Putri Pratama,34,sudah menikah,74316,perempuan,5,1,S2,skilled manual work,tidak memiliki rumah sendiri,1
Zainab Susanto,36,belum menikah,117788,perempuan,3,3,SMA,unskilled manual work,memiliki rumah sendiri,3
Joko Anggraini,19,sudah menikah,35118,perempuan,5,1,S2,clerical work,tidak memiliki rumah sendiri,3
Dewi Rachman,56,sudah menikah,79735,laki-laki,3,0,SMA,professional,memiliki rumah sendiri,3
Budi Fauzan,33,belum menikah,54089,laki-laki,1,1,Post-graduate,management,memiliki rumah sendiri,0
Budi Susanto,30,belum menikah,142787,perempuan,0,1,SMA,clerical work,memiliki rumah sendiri,2
Siti Wijaya,41,belum menikah,39032,perempuan,1,2,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,3
Vina Fauzan,26,belum menikah,115411,perempuan,5,0,S3,clerical work,memiliki rumah sendiri,0
Nina Wijaya,54,sudah menikah,83439,perempuan,3,3,S1,sales,memiliki rumah sendiri,0
Taufik Muliawan,56,sudah menikah,118373,perempuan,3,1,Post-graduate,sales,tidak memiliki rumah sendiri,1
Lina Hakim,54,sudah menikah,71986,laki-laki,4,5,Post-graduate,sales,memiliki rumah sendiri,3
Nina Pratama,51,sudah menikah,135701,laki-laki,5,0,Post-graduate,skilled manual work,memiliki rumah sendiri,1
Eko Hidayat,55,sudah menikah,127784,perempuan,0,3,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Lina Susanto,21,sudah menikah,118329,perempuan,3,1,Post-graduate,professional,tidak memiliki rumah sendiri,3
Maya Setiawan,28,belum menikah,21153,laki-laki,3,1,S3,professional,tidak memiliki rumah sendiri,1
Siti Wibowo,62,sudah menikah,127516,laki-laki,3,2,Post-graduate,management,tidak memiliki rumah sendiri,2
Taufik Mahendra,53,sudah menikah,81087,laki-laki,3,1,S3,professional,tidak memiliki rumah sendiri,0
Yusuf Wibowo,27,sudah menikah,57541,laki-laki,5,0,S2,management,memiliki rumah sendiri,0
Gita Utomo,61,sudah menikah,145503,perempuan,5,0,SMA,professional,tidak memiliki rumah sendiri,0
Taufik Susanto,26,belum menikah,70211,perempuan,4,1,Post-graduate,management,memiliki rumah sendiri,1
Maya Wijaya,37,sudah menikah,79989,laki-laki,4,0,S3,unskilled manual work,memiliki rumah sendiri,3
Usman Wahyuni,37,belum menikah,125407,perempuan,2,0,Post-graduate,clerical work,memiliki rumah sendiri,2
Kartini Purnomo,22,belum menikah,62028,laki-laki,3,0,Post-graduate,clerical work,tidak memiliki rumah sendiri,2
Budi Purnomo,34,sudah menikah,119053,perempuan,4,2,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,1
Putri Wijaya,56,sudah menikah,38196,laki-laki,1,1,S2,clerical work,memiliki rumah sendiri,1
Usman Susanto,48,sudah menikah,47034,laki-laki,3,2,S1,skilled manual work,tidak memiliki rumah sendiri,1
Agus Anggraini,66,sudah menikah,49964,perempuan,5,1,S1,sales,memiliki rumah sendiri,2
Usman Wahyuni,25,belum menikah,123713,perempuan,1,2,S2,clerical work,memiliki rumah sendiri,3
Lina Purnomo,59,belum menikah,22105,perempuan,3,0,SMA,clerical work,memiliki rumah sendiri,3
Hadi Fauzan,33,belum menikah,22649,perempuan,3,0,S1,unskilled manual work,memiliki rumah sendiri,1
Fitri Haryanto,64,sudah menikah,100472,perempuan,5,2,SMA,clerical work,memiliki rumah sendiri,1
Lina Setiawan,28,belum menikah,89769,perempuan,1,0,Post-graduate,management,memiliki rumah sendiri,1
Lina Sari,38,sudah menikah,127207,laki-laki,5,0,S3,management,tidak memiliki rumah sendiri,2
Rizki Pratama,43,sudah menikah,125415,laki-laki,4,1,S2,management,memiliki rumah sendiri,3
Taufik Saputra,63,sudah menikah,82863,laki-laki,4,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,0
Nina Hakim,55,sudah menikah,21340,perempuan,2,0,S2,skilled manual work,memiliki rumah sendiri,2
Putri Sari,57,sudah menikah,80877,laki-laki,4,0,S1,management,memiliki rumah sendiri,1
Rizki Haryanto,52,sudah menikah,69574,perempuan,1,1,S3,skilled manual work,memiliki rumah sendiri,1
Nina Santoso,50,sudah menikah,66754,laki-laki,2,2,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Agus Saputra,27,sudah menikah,141620,laki-laki,1,0,SMA,professional,memiliki rumah sendiri,1
Kartini Sari,55,sudah menikah,63051,laki-laki,0,4,Post-graduate,sales,memiliki rumah sendiri,2
Vina Rachman,42,sudah menikah,137178,laki-laki,2,0,SMA,clerical work,memiliki rumah sendiri,1
Eko Putra,35,belum menikah,102031,laki-laki,2,2,SMA,professional,tidak memiliki rumah sendiri,1
Lina Putra,47,belum menikah,95835,perempuan,5,2,S3,sales,tidak memiliki rumah sendiri,2
Fitri Saputra,25,sudah menikah,55969,perempuan,5,2,S3,skilled manual work,memiliki rumah sendiri,0
Yusuf Fauzan,53,belum menikah,110687,perempuan,2,2,S3,professional,memiliki rumah sendiri,0
Usman Santoso,25,belum menikah,124005,perempuan,2,1,Post-graduate,sales,tidak memiliki rumah sendiri,2
Indra Setiawan,24,sudah menikah,108878,laki-laki,5,0,SMA,skilled manual work,memiliki rumah sendiri,1
Zainab Anggraini,47,sudah menikah,73338,laki-laki,1,0,Post-graduate,clerical work,memiliki rumah sendiri,1
Maya Wijaya,39,belum menikah,105832,perempuan,5,0,Post-graduate,management,memiliki rumah sendiri,0
Dewi Putra,69,belum menikah,128783,perempuan,0,2,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Lina Santoso,42,sudah menikah,38290,laki-laki,1,4,S2,sales,tidak memiliki rumah sendiri,3
Dewi Wibowo,67,belum menikah,89731,perempuan,0,3,S3,professional,tidak memiliki rumah sendiri,1
Putri Hidayat,47,sudah menikah,147557,perempuan,5,1,S1,skilled manual work,tidak memiliki rumah sendiri,1
Dewi Putra,40,sudah menikah,97720,laki-laki,3,1,S1,unskilled manual work,memiliki rumah sendiri,3
Lina Setiawan,28,sudah menikah,98655,perempuan,4,0,S1,professional,memiliki rumah sendiri,1
Indra Rachman,62,belum menikah,108291,laki-laki,3,0,S1,management,tidak memiliki rumah sendiri,1
Indra Hakim,60,belum menikah,134836,laki-laki,4,0,S3,sales,memiliki rumah sendiri,3
Usman Utomo,45,sudah menikah,90782,perempuan,2,0,S3,professional,memiliki rumah sendiri,0
Vina Sari,43,belum menikah,90108,perempuan,0,0,S2,professional,tidak memiliki rumah sendiri,1
Hadi Rachman,19,sudah menikah,105932,laki-laki,4,1,SMA,skilled manual work,tidak memiliki rumah sendiri,1
Usman Utomo,23,sudah menikah,74910,perempuan,5,1,SMA,sales,tidak memiliki rumah sendiri,0
Taufik Anggraini,22,belum menikah,135831,laki-laki,1,0,Post-graduate,skilled manual work,memiliki rumah sendiri,2
Gita Sari,64,sudah menikah,106302,perempuan,0,3,S2,professional,memiliki rumah sendiri,2
Indra Susanto,52,sudah menikah,138741,laki-laki,4,5,S2,unskilled manual work,memiliki rumah sendiri,2
Joko Wijaya,41,belum menikah,104876,laki-laki,2,1,S3,management,memiliki rumah sendiri,3
Budi Sari,51,sudah menikah,99131,laki-laki,5,3,S2,sales,memiliki rumah sendiri,3
Indra Muliawan,62,belum menikah,46818,laki-laki,4,0,SMA,unskilled manual work,memiliki rumah sendiri,0
Maya Sari,56,sudah menikah,111048,laki-laki,4,1,S1,sales,memiliki rumah sendiri,0
Nina Purnomo,35,belum menikah,45895,laki-laki,3,4,Post-graduate,skilled manual work,memiliki rumah sendiri,3
Nina Purnomo,48,sudah menikah,73452,laki-laki,3,0,S2,professional,tidak memiliki rumah sendiri,3
Lina Fauzan,45,belum menikah,55745,laki-laki,4,2,SMA,skilled manual work,memiliki rumah sendiri,3
Fitri Wahyuni,22,sudah menikah,119702,laki-laki,1,0,S2,clerical work,memiliki rumah sendiri,3
Wati Fauzan,45,belum menikah,136087,laki-laki,5,2,S2,clerical work,memiliki rumah sendiri,2
Agus Muliawan,44,belum menikah,90834,laki-laki,2,4,S1,management,tidak memiliki rumah sendiri,3
Joko Muliawan,28,sudah menikah,55045,laki-laki,2,3,SMA,skilled manual work,tidak memiliki rumah sendiri,2
Putri Saputra,18,sudah menikah,31075,perempuan,5,1,S1,clerical work,memiliki rumah sendiri,1
Kartini Setiawan,53,sudah menikah,148970,perempuan,1,0,S2,management,tidak memiliki rumah sendiri,1
Budi Muliawan,20,belum menikah,130479,laki-laki,1,1,S3,professional,tidak memiliki rumah sendiri,2
Budi Putra,26,belum menikah,62968,laki-laki,1,0,SMA,skilled manual work,tidak memiliki rumah sendiri,1
Putri Utomo,54,belum menikah,79124,laki-laki,0,4,S2,skilled manual work,memiliki rumah sendiri,3
Zainab Purnomo,49,sudah menikah,25174,laki-laki,1,2,S3,professional,memiliki rumah sendiri,0
Indra Wahyuni,46,sudah menikah,32099,laki-laki,5,0,S3,professional,tidak memiliki rumah sendiri,3
